new_fns	V2	V3
1	geog_00_00.data	-4.0102	0.018
2	geog_00_10.data	-2.5251	0.08
3	geog_00_01.data	-2.5251	0.08
4	geog_00_11.data	-2.8743	0.056
5	geog_10_00.data	-2.5251	0.08
6	geog_10_10.data	-0.7979	0.45
7	geog_10_01.data	-1.3611	0.256
8	geog_10_11.data	-1.3956	0.248
9	geog_01_00.data	-2.5251	0.08
10	geog_01_10.data	-1.3611	0.256
11	geog_01_01.data	-0.7979	0.45
12	geog_01_11.data	-1.3956	0.248
13	geog_11_00.data	-2.8743	0.056
14	geog_11_10.data	-1.3956	0.248
15	geog_11_01.data	-1.3956	0.248
16	geog_11_11.data	-1.9331	0.145
