new_fns	V2	V3
1	geog_000_000.data	-3.6198	0.027
2	geog_000_100.data	-2.6187	0.073
3	geog_000_010.data	-2.6187	0.073
4	geog_000_001.data	-2.6187	0.073
5	geog_000_110.data	-3.0451	0.048
6	geog_000_011.data	-3.0451	0.048
7	geog_000_101.data	-3.0451	0.048
8	geog_000_111.data	-2.837	0.059
9	geog_100_000.data	-2.6187	0.073
10	geog_100_100.data	-0.8903	0.411
11	geog_100_010.data	-2.3853	0.092
12	geog_100_001.data	-2.3853	0.092
13	geog_100_110.data	-1.8506	0.157
14	geog_100_011.data	-2.6711	0.069
15	geog_100_101.data	-1.8506	0.157
16	geog_100_111.data	-1.8572	0.156
17	geog_010_000.data	-2.6187	0.073
18	geog_010_100.data	-2.3853	0.092
19	geog_010_010.data	-0.8903	0.411
20	geog_010_001.data	-2.3853	0.092
21	geog_010_110.data	-1.8506	0.157
22	geog_010_011.data	-1.8506	0.157
23	geog_010_101.data	-2.6711	0.069
24	geog_010_111.data	-1.8572	0.156
25	geog_001_000.data	-2.6187	0.073
26	geog_001_100.data	-2.3853	0.092
27	geog_001_010.data	-2.3853	0.092
28	geog_001_001.data	-0.8903	0.411
29	geog_001_110.data	-2.6711	0.069
30	geog_001_011.data	-1.8506	0.157
31	geog_001_101.data	-1.8506	0.157
32	geog_001_111.data	-1.8572	0.156
33	geog_110_000.data	-3.0451	0.048
34	geog_110_100.data	-1.8506	0.157
35	geog_110_010.data	-1.8506	0.157
36	geog_110_001.data	-2.6711	0.069
37	geog_110_110.data	-2.4889	0.083
38	geog_110_011.data	-2.795	0.061
39	geog_110_101.data	-2.795	0.061
40	geog_110_111.data	-2.6314	0.072
41	geog_011_000.data	-3.0451	0.048
42	geog_011_100.data	-2.6711	0.069
43	geog_011_010.data	-1.8506	0.157
44	geog_011_001.data	-1.8506	0.157
45	geog_011_110.data	-2.795	0.061
46	geog_011_011.data	-2.4889	0.083
47	geog_011_101.data	-2.795	0.061
48	geog_011_111.data	-2.6314	0.072
49	geog_101_000.data	-3.0451	0.048
50	geog_101_100.data	-1.8506	0.157
51	geog_101_010.data	-2.6711	0.069
52	geog_101_001.data	-1.8506	0.157
53	geog_101_110.data	-2.795	0.061
54	geog_101_011.data	-2.795	0.061
55	geog_101_101.data	-2.4889	0.083
56	geog_101_111.data	-2.6314	0.072
57	geog_111_000.data	-2.837	0.059
58	geog_111_100.data	-1.8572	0.156
59	geog_111_010.data	-1.8572	0.156
60	geog_111_001.data	-1.8572	0.156
61	geog_111_110.data	-2.6314	0.072
62	geog_111_011.data	-2.6314	0.072
63	geog_111_101.data	-2.6314	0.072
64	geog_111_111.data	-2.7457	0.064
