d_val	e_val	j_val	BGB_DEC_init_LnL	BD_LnL	classe_DEC_ML	classe_DEC_ML_minus_BD
d_0_e_0_j_0	0	0	0	-1.79175943942573	-3.2163953243245	-10.383433140262	-1.7917594755042
d_0_e_0_j_0.01	0	0	0.01	-1.71992519766901	-3.2163953243245	-10.2919267134239	-1.81182374934214
d_0_e_0_j_0.05	0	0	0.05	-1.54472583543523	-3.2163953243245	-10.0440918462457	-1.89315142843351
d_0_e_0_j_0.1	0	0	0.1	-1.46053206347497	-3.2163953243245	-9.88077720385111	-1.99643535464518
d_0_e_0_j_0.3	0	0	0.3	-1.58963538506336	-3.2163953243245	-9.78130892616442	-2.4134106930287
d_0_e_0_j_1	0	0	1	-2.85960009381081	-3.2163953243245	-10.7012737153315	-3.81434814281206
d_0_e_0_j_2.99	0	0	2.99	-14.8318475176054	-3.2163953243245	-22.42407825433	-15.7778371076679
d_0_e_0.01_j_0	0	0.01	0	-1.83778490675773	-3.2163953243245	-10.4258217500651	-1.83368983931285
d_0_e_0.01_j_0.01	0	0.01	0.01	-1.77039939273824	-3.2163953243245	-10.3393028292787	-1.85382853112559
d_0_e_0.01_j_0.05	0	0.01	0.05	-1.60581995589782	-3.2163953243245	-10.1034034898771	-1.93540478602487
d_0_e_0.01_j_0.1	0	0.01	0.1	-1.52800390697049	-3.2163953243245	-9.94729622439539	-2.03890421780482
d_0_e_0.01_j_0.3	0	0.01	0.3	-1.66527070408039	-3.2163953243245	-9.85727280821643	-2.45599143894798
d_0_e_0.01_j_1	0	0.01	1	-2.93734621811215	-3.2163953243245	-10.7815828473366	-3.85150929966551
d_0_e_0.01_j_2.99	0	0.01	2.99	-9.39326040386445	-3.2163953243245	-18.3547920378974	-9.74753324562024
d_0_e_0.05_j_0	0	0.05	0	-2.0483882790132	-3.2163953243245	-10.6256154105874	-2.02510622256421
d_0_e_0.05_j_0.01	0	0.05	0.01	-1.99487200667376	-3.2163953243245	-10.5543852015726	-2.04546487874043
d_0_e_0.05_j_0.05	0	0.05	0.05	-1.86446605331263	-3.2163953243245	-10.3563782627123	-2.12776745507705
d_0_e_0.05_j_0.1	0	0.05	0.1	-1.80793642698848	-3.2163953243245	-10.2241004281699	-2.23187614411916
d_0_e_0.05_j_0.3	0	0.05	0.3	-1.97337837787728	-3.2163953243245	-10.1664788943905	-2.6490314420387
d_0_e_0.05_j_1	0	0.05	1	-3.25329463988477	-3.2163953243245	-11.106287101854	-4.02632132242109
d_0_e_0.05_j_2.99	0	0.05	2.99	-8.24668302376314	-3.2163953243245	-17.2172192934481	-8.49819594617154
d_0_e_0.1_j_0	0	0.1	0	-2.35502980958064	-3.2163953243245	-10.9239724383433	-2.3055101749125
d_0_e_0.1_j_0.01	0	0.1	0.01	-2.3131769106424	-3.2163953243245	-10.8652854606974	-2.32603554406052
d_0_e_0.1_j_0.05	0	0.1	0.05	-2.21283550318141	-3.2163953243245	-10.6999375463527	-2.40887747993718
d_0_e_0.1_j_0.1	0	0.1	0.1	-2.17605715598441	-3.2163953243245	-10.5894314585634	-2.5134114002673
d_0_e_0.1_j_0.3	0	0.1	0.3	-2.3690203989645	-3.2163953243245	-10.5631096590443	-2.93027567262764
d_0_e_0.1_j_1	0	0.1	1	-3.65764253857634	-3.2163953243245	-11.5188691366074	-4.29098062788842
d_0_e_0.1_j_2.99	0	0.1	2.99	-8.1284245289298	-3.2163953243245	-17.0999137152189	-8.27953256712636
d_0_e_0.3_j_0	0	0.3	0	-3.82484153852207	-3.2163953243245	-12.3821423892265	-3.68412263204422
d_0_e_0.3_j_0.01	0	0.3	0.01	-3.80475120057082	-3.2163953243245	-12.3459629639093	-3.70489778055137
d_0_e_0.3_j_0.05	0	0.3	0.05	-3.76410993906576	-3.2163953243245	-12.243177617432	-3.78853260538145
d_0_e_0.3_j_0.1	0	0.3	0.1	-3.7697351669229	-3.2163953243245	-12.1779438721442	-3.89365341008781
d_0_e_0.3_j_0.3	0	0.3	0.3	-4.02710263195181	-3.2163953243245	-12.222695350046	-4.30961423905117
d_0_e_0.3_j_1	0	0.3	1	-5.34304023400479	-3.2163953243245	-13.2196051197441	-5.64250633054775
d_0_e_0.3_j_2.99	0	0.3	2.99	-9.32588630251076	-3.2163953243245	-18.2972213599362	-9.24065087351114
d_0_e_1_j_0	0	1	0	-9.80636856445325	-3.2163953243245	-18.3661721223761	-9.53385289652199
