ML_DEC	d_ML_DEC	e_ML_DEC	j_ML_DEC	ML_DECj	d_ML_DECj	e_ML_DECj	j_ML_DECj
2species	-1.72886943062339	1e-12	0.142557741787747	0	-0.606135992317237	1e-12	1e-12	1.36184934297714
3species	-3.58351887884347	1e-12	1e-12	0	-1.82852484237239	1e-12	1e-12	0.725856845668829
4species	-5.06926107945348	0.033246413229367	1e-12	0	-2.94974360941647	1e-12	1e-12	0.189474558836963
5species	-5.82184776721036	0.0321216860967323	1e-12	0	-3.50258313664747	1e-12	1e-12	0.0944797178097272
6species	-6.26606900214095	0.0244891002264601	1e-12	0	-3.81298737926616	1e-12	1e-12	0.0669941646359115
7species	-6.5885495569339	0.0184800363218575	1e-12	0	-4.03512058898736	9.9999869496159e-13	1e-12	0.052524123297999
8species	-6.8537373322775	0.0143139457815727	1e-12	0	-4.21312038705596	1e-12	1e-12	0.0434163182386595
9species	-7.08421830855675	0.0113832129808299	1e-12	0	-4.36322421105834	1e-12	1e-12	0.0368254416362075
10species	-7.28965691348529	0.0092756572753046	9.9999869496159e-13	0	-4.49342241397421	1e-12	1e-12	0.032075078694599
15species	-8.08086747807387	0.00420453369053112	1e-12	0	-4.96912723061971	1e-12	1e-12	0.0195016859320948
20species	-8.64444049170701	0.00239310117131418	1e-12	0	-5.28985124310281	1e-12	1e-12	0.0140377193603661
