ML_DEC	d_ML_DEC	e_ML_DEC	j_ML_DEC	ML_DECj	d_ML_DECj	e_ML_DECj	j_ML_DECj
2species	-1.79175943942573	1e-12	1e-12	0	0.154150224277369	1e-12	1e-12	2.99999
3species	-3.47196384299168	0.0896381598488828	1e-12	0	-0.492477022894377	1e-12	1e-12	2.99998915756858
4species	-3.58351887884513	1e-12	1e-12	0	-1.83225080283269	1e-12	1e-12	0.394880095696212
5species	-3.58351887884458	1e-12	1e-12	0	-2.30897888163321	1e-12	1e-12	0.201358183292082
6species	-3.58351887884382	1e-12	1e-12	0	-2.60225693543556	1e-12	1e-12	0.130455220082139
7species	-3.58351887884286	1e-12	1e-12	0	-2.80840863481266	1e-12	1e-12	0.0936613189264903
8species	-3.5835188788417	1e-12	1e-12	0	-2.96324348313757	1e-12	1e-12	0.0710065983186207
9species	-3.58351887884034	1e-12	1e-12	0	-3.0841704477062	1e-12	1e-12	0.055770542662925
10species	-3.58351887883878	1e-12	1e-12	0	-3.18099761643315	1e-12	1e-12	0.0448133606565196
15species	-3.58351887882798	1e-12	1e-12	0	-3.45969877617326	1e-12	1e-12	0.017004943405327
20species	-3.58351887881218	1e-12	1e-12	0	-3.56370065795433	1e-12	1e-12	0.00532499740743208
