ML_DEC	d_ML_DEC	e_ML_DEC	j_ML_DEC	ML_DECj	d_ML_DECj	e_ML_DECj	j_ML_DECj
2species	-1.79175943942573	1e-12	1e-12	0	0.154150224277369	1e-12	1e-12	2.99999
3species	-1.7917594394254	1e-12	1e-12	0	-1.07799339550051	1e-12	1e-12	0.319610164660556
4species	-3.58351887884513	1e-12	1e-12	0	-1.83225080283269	1e-12	1e-12	0.394880095696212
5species	-4.84991449945451	0.0539994138349035	1e-12	0	-2.55659669251477	9.99866855977416e-13	1e-12	0.267233442940863
6species	-5.47048400408944	0.0486708700353482	1e-12	0	-3.01171309524883	1e-12	1e-12	0.152965348727541
7species	-5.85013556063839	0.0377302862276259	1e-12	0	-3.27653385867044	9.99977878279878e-13	1e-12	0.112442825056553
8species	-6.13388105439434	0.0292358623218596	9.9999869496159e-13	0	-3.47053756490775	1e-12	1e-12	0.0907913169487288
9species	-6.37182156404982	0.0231963252695998	1e-12	0	-3.62935167542068	1e-12	1e-12	0.0765135037741973
10species	-6.58130240687167	0.0188346951232969	1e-12	0	-3.76539812666451	9.9999869496159e-13	1e-12	0.0662032594199838
15species	-7.38094629439064	0.00846888038182656	1e-12	0	-4.25549658824038	1e-12	1e-12	0.0396665235085083
20species	-7.94744900671201	0.00480664101390841	1e-12	0	-4.58218448778159	1e-12	1e-12	0.028382869143284
