ML_DEC	d_ML_DEC	e_ML_DEC	j_ML_DEC	ML_DECj	d_ML_DECj	e_ML_DECj	j_ML_DECj
2species	-1.79175943942573	1e-12	1e-12	0	0.154150224277369	1e-12	1e-12	2.99999
3species	-1.7917594394254	1e-12	1e-12	0	-1.07799339550051	1e-12	1e-12	0.319610164660556
4species	-1.79175943942484	1e-12	1e-12	0	-1.44709153560157	1e-12	1e-12	0.136005783645038
5species	-1.79175943942408	1e-12	1e-12	0	-1.63273775284477	1e-12	1e-12	0.0697927065916038
6species	-1.79175943942313	1e-12	1e-12	0	-1.73125856975994	1e-12	1e-12	0.0352965723012738
7species	-1.79175943942197	1e-12	1e-12	0	-1.77846300941629	1e-12	1e-12	0.0142024473951678
8species	-1.79175943942061	1e-12	1e-12	0	-1.79175943942061	1e-12	1e-12	0
9species	-1.79175943941905	1e-12	1e-12	0	-1.79175943941905	1e-12	1e-12	0
10species	-1.79175943941729	1e-12	1e-12	0	-1.79175943941729	1e-12	1e-12	0
15species	-1.79175943940549	1e-12	1e-12	0	-1.79175943940549	1e-12	1e-12	0
20species	-1.79175943938869	1e-12	1e-12	0	-1.79175943938869	1e-12	1e-12	0
